type,a,b,c,d,e,f,g
map,1,,,,,,
poi,82.3,61.6,crossing,,,,
poi,87.0,63.6,signal,,,,
poi,85.9,70.0,crossing,,,,
poi,89.0,56.9,crossing,,,,
water,-972.9,-19.4,-975.1,-19.7,3.0,,
water,-975.1,-19.7,-977.4,-19.5,3.0,,
water,-977.4,-19.5,-980.9,-19.2,3.0,,
water,-980.9,-19.2,-982.4,-19.2,3.0,,
water,-982.4,-19.2,-984.0,-19.6,3.0,,
water,-984.0,-19.6,-987.5,-21.8,3.0,,
water,-987.5,-21.8,-1007.0,-28.0,3.0,,
water,-1007.0,-28.0,-1028.9,-33.9,3.0,,
water,-1028.9,-33.9,-1046.9,-38.4,3.0,,
water,-1046.9,-38.4,-1052.6,-38.9,3.0,,
water,-1052.6,-38.9,-1064.1,-40.4,3.0,,
water,-1064.1,-40.4,-1080.9,-41.4,3.0,,
water,-1080.9,-41.4,-1096.2,-41.3,3.0,,
water,-1096.2,-41.3,-1100.4,-39.3,3.0,,
water,-1100.4,-39.3,-1116.2,-39.3,3.0,,
water,-1116.2,-39.3,-1130.3,-37.0,3.0,,
water,-1130.3,-37.0,-1134.7,-35.7,3.0,,
water,-1134.7,-35.7,-1145.7,-36.0,3.0,,
water,-1145.7,-36.0,-1150.1,-33.6,3.0,,
water,-1150.1,-33.6,-1157.3,-34.0,3.0,,
water,-1157.3,-34.0,-1181.0,-29.1,3.0,,
water,-1181.0,-29.1,-1200.1,-24.5,3.0,,
water,-1200.1,-24.5,-1225.3,-16.8,3.0,,
water,-1225.3,-16.8,-1252.8,-6.8,3.0,,
water,-1252.8,-6.8,-1268.6,0.5,3.0,,
water,-1268.6,0.5,-1295.9,14.2,3.0,,
water,-1295.9,14.2,-1313.8,22.2,3.0,,
water,-1313.8,22.2,-1336.2,32.0,3.0,,
water,-1336.2,32.0,-1347.6,36.0,3.0,,
water,-1347.6,36.0,-1375.6,43.0,3.0,,
water,-1375.6,43.0,-1381.7,45.3,3.0,,
