half,idx,label,strong,crit,caut,safe,safe_ho,lead,lead25,n_fire
0,212,ts+brg13+mn4/4+rc(0.05,8),85.91,95.88,93.67,65.00,4.55,1.60,32.65,1595
0,213,ts+brg13+mn4/4+rc(0.05,8)+link,86.25,96.22,93.67,64.76,4.55,1.60,32.60,1593
0,214,ts+brg13+mn4/4+rc(0.05,15),87.29,95.88,93.67,64.76,4.55,1.70,33.75,1595
0,215,ts+brg13+mn4/4+rc(0.05,15)+link,87.63,96.22,93.67,64.52,4.55,1.70,33.70,1593
0,216,ts+brg13+mn4/4+rc(0.10,8),86.25,95.88,93.67,65.00,4.55,1.60,32.65,1591
0,217,ts+brg13+mn4/4+rc(0.10,8)+link,86.60,96.22,93.67,64.76,4.55,1.60,32.60,1589
0,218,ts+brg13+mn4/4+rc(0.10,15),88.66,95.53,93.67,62.62,4.55,1.80,33.97,1577
0,219,ts+brg13+mn4/4+rc(0.10,15)+link,89.00,95.88,93.67,62.38,4.55,1.75,33.91,1575
0,220,ts+brg13+mn4/4+rc(0.20,8),86.94,95.88,93.40,65.00,4.55,1.60,32.70,1594
0,221,ts+brg13+mn4/4+rc(0.20,8)+link,87.29,96.22,93.40,64.76,4.55,1.60,32.65,1591
0,222,ts+brg13+mn4/4+rc(0.20,15),90.72,96.22,94.46,55.71,4.55,1.80,34.64,1584
0,223,ts+brg13+mn4/4+rc(0.20,15)+link,91.07,96.91,94.72,55.71,4.55,1.80,34.48,1581
0,224,ts+brg13+mn4/6,86.94,96.22,93.67,62.38,4.55,1.80,34.80,1700
0,225,ts+brg13+mn4/6+link,86.94,96.56,93.93,62.38,4.55,1.70,34.69,1696
0,226,ts+brg13+mn4/6+rc(0.05,8),87.29,96.22,93.67,62.14,4.55,1.80,34.80,1702
0,227,ts+brg13+mn4/6+rc(0.05,8)+link,87.29,96.56,93.93,62.14,4.55,1.70,34.69,1698
0,228,ts+brg13+mn4/6+rc(0.05,15),88.32,96.22,93.93,61.90,4.55,1.80,35.85,1695
0,229,ts+brg13+mn4/6+rc(0.05,15)+link,87.97,96.56,94.20,61.90,4.55,1.80,35.74,1691
0,230,ts+brg13+mn4/6+rc(0.10,8),87.63,96.22,93.67,62.14,4.55,1.80,34.96,1701
0,231,ts+brg13+mn4/6+rc(0.10,8)+link,87.63,96.56,93.93,62.14,4.55,1.70,34.85,1697
0,232,ts+brg13+mn4/6+rc(0.10,15),89.69,96.22,93.93,60.00,4.55,1.80,36.16,1674
